Bitcoin-BTC-USD
Tether-USDT-USD
Ethereum-ETH-USD
Ripple-XRP-USD
Cardano-ADA-USD
Solana-SOL-USD
Dogecoin-DOGE-USD
Polkadot-DOT-USD
Litecoin-LTC-USD
Chainlink-LINK-USD
Bitcoin Cash-BCH-USD
Stellar-XLM-USD
Filecoin-FIL-USD
EOS-EOS-USD
TRON-TRX-USD
Ethereum Classic-ETC-USD
Uniswap-UNI-USD
Polygon-MATIC-USD
Aave-AAVE-USD
Algorand-ALGO-USD
